"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"21.04.2000";"Â";"38 %";"39 %";"7 %";"6 %";"6 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"14.04.2000";"Â";"38 %";"39 %";"6 %";"6 %";"6 %";"4 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"07.04.2000";"Â";"35 %";"39 %";"8 %";"7 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"31.03.2000";"Â";"36 %";"39 %";"7 %";"7 %";"7 %";"â€“";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"24.03.2000";"Â";"33 %";"41 %";"6 %";"9 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"17.03.2000";"Â";"32 %";"41 %";"8 %";"9 %";"6 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"10.03.2000";"Â";"30 %";"42 %";"6 %";"10 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"03.03.2000";"Â";"31 %";"43 %";"7 %";"8 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"25.02.2000";"Â";"30 %";"43 %";"8 %";"8 %";"7 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"18.02.2000";"Â";"31 %";"41 %";"8 %";"8 %";"6 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"11.02.2000";"Â";"30 %";"42 %";"7 %";"8 %";"7 %";"2 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"04.02.2000";"Â";"33 %";"42 %";"6 %";"7 %";"6 %";"5 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"28.01.2000";"Â";"32 %";"41 %";"7 %";"7 %";"7 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"21.01.2000";"Â";"36 %";"40 %";"6 %";"6 %";"6 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"14.01.2000";"Â";"37 %";"39 %";"6 %";"6 %";"6 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
"07.01.2000";"Â";"37 %";"38 %";"6 %";"6 %";"7 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2000.htm"
