Land	Kabinett	Amtszeit-Jahr	Amtszeit-Datum	Beteiligte Parteien	Ministerpräsident
rheinland-pfalz	Altmeier I	1947-1951	09.07.1947-13.06.1951	CDU, SPD, FDP, KPD	Peter Altmeier
rheinland-pfalz	Altmeier II	1951-1955	13.06.1951-01.06.1955	CDU, FDP	Peter Altmeier
rheinland-pfalz	Altmeier III	1955-1959	01.06.1955-19.05.1959	CDU, FDP	Peter Altmeier
rheinland-pfalz	Altmeier IV	1959-1963	19.05.1959-18.05.1963	CDU, FDP	Peter Altmeier
rheinland-pfalz	Altmeier V	1963-1967	18.05.1963-18.05.1967	CDU, FDP	Peter Altmeier
rheinland-pfalz	Altmeier VI	1967-1969	18.05.1967-19.05.1969	CDU, FDP	Peter Altmeier
rheinland-pfalz	Kohl I	1969-1971	19.05.1969-18.05.1971	CDU, FDP	Helmut Kohl
rheinland-pfalz	Kohl II	1971-1975	18.05.1971-20.05.1975	CDU	Helmut Kohl
rheinland-pfalz	Kohl III	1975-1976	20.05.1975-02.12.1976	CDU	Helmut Kohl
rheinland-pfalz	Vogel I	1976-1979	02.12.1976-18.05.1979	CDU	Bernhard Vogel
rheinland-pfalz	Vogel II	1979-1983	18.05.1979-18.05.1983	CDU	Bernhard Vogel
rheinland-pfalz	Vogel III	1983-1987	18.05.1983-23.06.1987	CDU	Bernhard Vogel
rheinland-pfalz	Vogel IV	1987-1988	23.06.1987-08.12.1988	CDU, FDP	Bernhard Vogel
rheinland-pfalz	Wagner	1988-1991	08.12.1988-21.05.1991	CDU, FDP	Carl-Ludwig Wagner
rheinland-pfalz	Scharping	1991-1994	21.05.1991-26.05.1994	SPD, FDP	Rudolf Scharpiing
rheinland-pfalz	Beck I	1994-1996	26.05.1994-20.05.1996	SPD, FDP	Kurt Beck
rheinland-pfalz	Beck III	1996-2001	20.05.1996-18.05.2001	SPD, FDP	Kurt Beck
rheinland-pfalz	Beck III	2001-2006	18.05.2001-18.05.2006	SPD, FDP	Kurt Beck
rheinland-pfalz	Beck IV	2006-2011	18.05.2006-18.05.2011	SPD	Kurt Beck
